"taxon" "IntDi" "rank IntDi" "decile" "Sci" "PCoA1" "PCoA2" "region identifier" "result.code" "result.category" "extinction.risk" "habitat" "feeding.mode" "tl" "offspring.size" "spawning.type" "age.maturity" "fecundity" "length.infinity" "length.max" "length.maturity" "growth.coefficient"
"11" "Alosa_fallax" 0.13941 158 4 0.98908 -0.03934 -0.05274 "europe" "LC" "Least Concern" 1 "pelagic" "generalist" 4.03 1 "non-guarder" 2.5 143750 52.25333405 42.9 28.875 0.331593228
"12" "Amblyraja_hyperborea" 0.15151 233 6 1 -0.05548 0.00285 "europe" "LC" "Least Concern" 1 "bathydemersal" "benthivorous" 4.31 102.5 "non-guarder" 11 30 68.45000076 45 45 0.151463222
"13" "Amblyraja_jenseni" 0.13971 161 4 1 -0.04724 -0.04066 "europe" "LC" "Least Concern" 1 "bathydemersal" "generalist" 3.62 104.17 "non-guarder" 10.94999981 17 93.44432329 85 56.96752652 0.123430041
"14" "Amblyraja_radiata" 0.14408 186 5 0.96492 -0.06694 -0.01288 "europe" "LC" "Least Concern" 1 "demersal" "generalist" 4.2 110 "non-guarder" 10.94999981 17 123.5 109 65 0.151463222
"15" "Ammodytes_marinus" 0.17362 334 8 0.51915 0.06728 -0.01761 "europe" "LC" "Least Concern" 1 "benthopelagic" "planktivorous" 2.71 1.03 "non-guarder" 3.200000048 13133 16.33333302 21 14.7333333333333 0.457973371
"16" "Anarhichas_minor" 0.16602 298 7 1 0.00823 0.1197 "europe" "NT" "Near Threatened" 1 "demersal" "benthivorous" 3.62 3.35 "guarder" 8 19700 153 180 80 0.096886078
"17" "Anguilla_anguilla" 0.12896 89 3 0.9978 -0.01187 -0.00899 "europe" "CR" "Critically Endangered" 2 "demersal" "generalist" 3.55 1.14 "non-guarder" 11 2500000 82.90000153 133 60 0.109999999
"18" "Anthias_anthias" 0.13721 142 4 0.99915 -0.01765 -0.04213 "europe" "LC" "Least Concern" 1 "reef-associated" "generalist" 3.75 0.84 "non-guarder" 4.36026214341414 937291 70.657865 27 25.7848499965634 0.128392553
"19" "Antimora_rostrata" 0.14297 179 5 0.99992 -0.00016 0.00014 "europe" "LC" "Least Concern" 1 "bathydemersal" "benthivorous" 3.58 0.98 "non-guarder" 12.5 6e+07 64.40000153 80 41.5 0.089000002
"20" "Aphanopus_carbo" 0.1851 358 9 0.99566 -0.08823 -0.04706 "europe" "LC" "Least Concern" 1 "bathypelagic" "piscivorous" 4.48 1.74 "non-guarder" 4.5 5e+07 145 118 108.36 0.109999999
"21" "Aphia_minuta" 0.23434 405 10 0.90468 0.10032 0.05919 "europe" "LC" "Least Concern" 1 "benthopelagic" "planktivorous" 3.1 0.34 "guarder" 0.583333333333333 1792 5.369999886 7.9 3.6 2.230000019
"22" "Apletodon_dentatus" 0.17255 326 8 0.99984 0.10762 0.10275 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.1 1.5 "guarder" 0.886249576019591 195 4.450000048 4 4.72818251333594 0.794946033
"23" "Apristurus_aphyodes" 0.13645 137 4 0.99993 -0.06344 -0.05059 "europe" "LC" "Least Concern" 1 "bathydemersal" "generalist" 3.97 47.5 "non-guarder" 5 1 107.2646219 74.64999771 52.95 0.153621119
"24" "Apristurus_laurussonii" 0.13495 125 3 0.99995 -0.05564 -0.04903 "europe" "LC" "Least Concern" 1 "bathydemersal" "generalist" 3.886666667 60 "non-guarder" 3.5 1 107.2646219 76 59.2 0.183307778
"25" "Apristurus_melanoasper" 0.17057 316 8 0.99999 -0.10443 0.00978 "europe" "LC" "Least Concern" 1 "bathydemersal" "generalist" 4 85.5 "bearer" 3.5 1 107.2646219 76.1 69.24459706 0.183307778
"26" "Apristurus_microps" 0.14436 187 5 0.99999 -0.08176 -0.05479 "europe" "LC" "Least Concern" 1 "bathydemersal" "generalist" 4.26 49.5 "non-guarder" 5 1 87.70000076 74.64999771 49.55 0.153621119
"27" "Arctozenus_risso" 0.14655 199 5 0.99998 0.03913 -0.05884 "europe" "LC" "Least Concern" 1 "bathypelagic" "generalist" 3.22 1.9 "non-guarder" 6 1e+07 21 30 14.17 0.699999988
"28" "Argentina_silus" 0.13183 105 3 0.93148 -0.00738 -0.04188 "europe" "LC" "Least Concern" 1 "bathydemersal" "generalist" 3.32 3.25 "non-guarder" 6.449999968 10000 42.75 70 33 0.166991839
"29" "Argentina_sphyraena" 0.12658 70 2 0.56322 -0.00895 -0.0469 "europe" "LC" "Least Concern" 1 "bathydemersal" "generalist" 3.62 1.72 "non-guarder" 2.5 10000 22.29999924 27 12.5 0.277999997
"30" "Argyropelecus_aculeatus" 0.14054 165 4 1 0.01731 -0.06223 "europe" "LC" "Least Concern" 1 "bathypelagic" "generalist" 3.67 0.98 "non-guarder" 1 350 10 8.3 2.5 0.670000017
"31" "Argyropelecus_olfersii" 0.14305 180 5 0.99996 0.04001 -0.05866 "europe" "LC" "Least Concern" 1 "bathypelagic" "generalist" 3.36 1.64 "non-guarder" 1 350 10 9 2.5 0.670000017
"32" "Argyrosomus_regius" 0.19752 374 9 0.99909 -0.09003 -0.04596 "europe" "LC" "Least Concern" 1 "benthopelagic" "piscivorous" 4.29 0.9 "non-guarder" 1.550000012 2e+08 171.8999939 189 46 0.150000006
"33" "Arnoglossus_imperialis" 0.12199 41 1 0.97708 0.03502 0.01882 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.84 0.75 "non-guarder" 1.9 50000 20.6 19 11.9 0.50999999
"34" "Arnoglossus_laterna" 0.11637 6 1 0.7133 0.04579 0.02056 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.59 0.68 "non-guarder" 3 50000 17.09999943 17 11 0.246721179
"35" "Arnoglossus_thori" 0.12486 60 2 0.99104 0.07452 0.0231 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.28 0.72 "non-guarder" 2 50000 18.20000076 20.5 12 0.50999999
"36" "Artediellus_atlanticus" 0.11865 26 1 1 0.05548 0.02322 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.42 2.25 "non-guarder" 3.5 62 19.34999943 16.8 5.1 0.15483555
"37" "Atherina_boyeri" 0.12734 73 2 0.99996 0.04882 -0.01821 "europe" "LC" "Least Concern" 1 "demersal" "generalist" 3.22 1.625 "non-guarder" 1 5340 11.58333349 20 5.825 0.416092273
"38" "Atherina_presbyter" 0.15472 248 6 0.83545 0.03001 -0.02896 "europe" "LC" "Least Concern" 1 "pelagic" "planktivorous" 3.67 1.87 "non-guarder" 1 1500 15.39999962 14 6.925 0.699999988
"39" "Bathygadus_melanobranchus" 0.1484 210 5 0.99999 0.01381 -0.02021 "europe" "LC" "Least Concern" 1 "bathydemersal" "planktivorous" 3.3 1.5 "non-guarder" 12.4000001 29976 50.65223494 50 31.54094499 0.160338314
"40" "Bathysolea_profundicola" 0.13526 129 3 0.99981 0.04912 0.00193 "europe" "LC" "Least Concern" 1 "bathydemersal" "benthivorous" 3.17 0.99 "non-guarder" 2.952307701 125000 28.25555589 21 11.4 0.278444522
"41" "Benthosema_glaciale" 0.16025 273 7 0.99999 0.06037 -0.0168 "europe" "LC" "Least Concern" 1 "benthopelagic" "planktivorous" 2.99 0.78 "non-guarder" 2.5 1051 8.5 6.5 4.75 0.360000014
"42" "Beryx_decadactylus" 0.13646 138 4 0.99995 -0.06342 -0.05421 "europe" "NT" "Near Threatened" 1 "bathydemersal" "generalist" 4.13 1.08 "non-guarder" 6.133333365 472500 55 52 27 0.131990598
"43" "Beryx_splendens" 0.14318 182 5 0.99986 -0.06484 -0.0494 "europe" "NT" "Near Threatened" 1 "benthopelagic" "generalist" 4.27 1.08 "non-guarder" 6.133333365 472500 45.79999924 43 30.9 0.170000002
"44" "Blennius_ocellaris" 0.14975 218 6 0.99853 0.06664 0.08915 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.49 1.16 "guarder" 2.5 500 15.0999999 17 9.635 0.424448927
"45" "Boops_boops" 0.15445 247 6 0.97456 0.08087 0.00915 "europe" "LC" "Least Concern" 1 "demersal" "planktivorous" 2.79 0.9 "non-guarder" 1.5 150000 31.12259373 36 13.4 0.189219292
"46" "Borostomias_antarcticus" 0.12777 78 2 0.99999 -0.00537 -0.04775 "europe" "LC" "Least Concern" 1 "bathydemersal" "generalist" 3.6 1.77 "non-guarder" 1.82407114228759 45000 27.5 35 16.1838179079413 0.41348326
"47" "Brosme_brosme" 0.12732 72 2 0.99949 -0.03267 -0.01624 "europe" "LC" "Least Concern" 1 "demersal" "generalist" 3.9 1.35 "non-guarder" 7 2500000 78.65555573 120 53.25 0.091539983
"48" "Buenia_jeffreysii" 0.15278 242 6 0.99976 0.06009 0.08968 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.62 1.04 "guarder" 1.181153845 4513 9.199999809 6 6.69476993358678 0.482039378
"49" "Buglossidium_luteum" 0.12596 66 2 0.57149 0.07448 0.02334 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.31 0.84 "non-guarder" 3 13400 10.75 13.7 8 0.567581476
"50" "Callionymus_lyra" 0.12346 50 2 0.60255 0.07143 0.023 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.27 0.9 "non-guarder" 2.5 5000 21.25 30 17.4 0.471167981
"51" "Callionymus_maculatus" 0.12468 58 2 0.92475 0.07385 0.02307 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.31 0.7 "non-guarder" 1.5 5000 13.2 13 7.9 0.471167981
"52" "Callionymus_reticulatus" 0.12637 68 2 0.99494 0.07661 0.02368 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.28 0.8 "non-guarder" 1.3 5000 9.1 11 5.6 0.471167981
"53" "Centrolabrus_exoletus" 0.17687 344 9 0.99996 0.06917 0.0808 "europe" "LC" "Least Concern" 1 "reef-associated" "benthivorous" 3.5 0.91 "guarder" 1.3 160631 13.2 13 7.9 0.745575356
"54" "Centrophorus_squamosus" 0.24203 407 10 0.99984 -0.20973 0.02445 "europe" "EN" "Endangered" 2 "bathydemersal" "generalist" 4.47 390 "bearer" 25 8 192 145 124.5 0.044389505
"55" "Centroscyllium_fabricii" 0.17147 322 8 0.99997 -0.09697 0.01547 "europe" "LC" "Least Concern" 1 "bathydemersal" "generalist" 3.84 175 "bearer" 5 10 102.3663801 84 60 0.175
"56" "Centroscymnus_coelolepis" 0.21348 397 10 0.99995 -0.17138 0.01693 "europe" "EN" "Endangered" 2 "bathydemersal" "generalist" 4.48 410 "bearer" 12 21 84.65 87.6 93.15 0.1065
"57" "Centroscymnus_crepidater" 0.21254 395 10 0.99984 -0.15653 0.05955 "europe" "LC" "Least Concern" 1 "bathydemersal" "piscivorous" 4.16 410 "bearer" 12 6 84.65 130 66.3 0.091852536
"58" "Ceratoscopelus_maderensis" 0.16004 271 7 0.99999 0.0739 -0.03316 "europe" "LC" "Least Concern" 1 "bathypelagic" "planktivorous" 3.05 0.5 "non-guarder" 0.533333331 3025 8.5 8.1 4.8 0.360000014
"59" "Cetorhinus_maximus" 0.5072 424 10 1 -0.12093 0.1999 "europe" "EN" "Endangered" 2 "pelagic" "planktivorous" 3.2 1750 "bearer" 11.5 2 1000 1000 725 0.061999999
"60" "Chauliodus_sloani" 0.14284 178 5 0.99998 -0.02905 -0.06774 "europe" "LC" "Least Concern" 1 "bathypelagic" "generalist" 4.2 2.95 "non-guarder" 1.98487092285562 45000 23 11.1 15.19 0.349999994
"61" "Chelidonichthys_cuculus" 0.11925 29 1 0.87605 0.002 -0.022 "europe" "LC" "Least Concern" 1 "demersal" "generalist" 3.81 1.55 "non-guarder" 3.5 57500 39.39999962 34 26.1 0.448934381
"62" "Chelidonichthys_lucerna" 0.12191 40 1 0.96884 -0.01809 -0.02309 "europe" "LC" "Least Concern" 1 "demersal" "generalist" 3.98 1.36 "non-guarder" 3.5 1e+07 48.40000153 75.1 25.12 0.285547495
"63" "Chelidonichthys_obscurus" 0.11784 18 1 0.99926 0.03606 0.01895 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.74 1.33 "non-guarder" 2.614285707 15000 42.40000025 34 12.5 0.423900123
"64" "Chelon_labrosus" 0.15264 240 6 0.99988 0.08391 0.03667 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 2.59 1.32 "non-guarder" 3 851000 50.62218399 60 27.25 0.200950405
"65" "Chimaera_monstrosa" 0.13788 145 4 0.98831 -0.00114 0.01076 "europe" "NT" "Near Threatened" 1 "bathydemersal" "benthivorous" 3.52 135 "non-guarder" 11 100 87.5 57.1 43.3 0.20616094
"66" "Chimaera_opalescens" 0.14452 188 5 0.99998 -0.01353 0.01523 "europe" "LC" "Least Concern" 1 "bathydemersal" "benthivorous" 3.52 135 "non-guarder" 12 100 117.958135 96.8 67.70300014 0.123483353
"67" "Chlorophthalmus_agassizi" 0.12684 71 2 0.99999 0.0174 -0.00231 "europe" "LC" "Least Concern" 1 "bathydemersal" "benthivorous" 3.66 2 "non-guarder" 3 8615 18.89999962 16.3 11.5 0.239999995
"68" "Citharus_linguatula" 0.12024 33 1 0.99941 0.01812 0.01923 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.97 1.3 "non-guarder" 2 5086 27.41999969 30 12.435 0.255640969
"69" "Clupea_harengus" 0.14183 173 5 0 0.03441 -0.01875 "europe" "LC" "Least Concern" 1 "benthopelagic" "planktivorous" 3.38 1.2 "non-guarder" 3.219761908 37783 34.23333359 25.6 22.3125 0.331574713
"70" "Conger_conger" 0.18574 359 9 0.99307 -0.09657 0.02688 "europe" "LC" "Least Concern" 1 "demersal" "piscivorous" 4.31 2.58 "non-guarder" 10 5500000 229 200 200 0.068000004
"71" "Coregonus_albula" 0.15127 232 6 1 0.04703 -0.01747 "europe" "LC" "Least Concern" 1 "benthopelagic" "planktivorous" 3.1 1.188 "non-guarder" 2 12900 35.7 48 23.5 0.3265
"72" "Coregonus_lavaretus" 0.13227 107 3 0.99992 0.04711 -0.01835 "europe" "VU" "Vulnerable" 2 "demersal" "generalist" 3.13 2.05 "non-guarder" 2 63886 42 59.4 26.6666666666667 0.639999986
"73" "Coryphaenoides_mediterraneus" 0.13674 140 4 0.99983 0.01551 -0.05298 "europe" "LC" "Least Concern" 1 "bathypelagic" "generalist" 3.4 1.1265 "non-guarder" 10 31226.33333 23.70000076 29.5 5.5 0.201000005
"74" "Coryphaenoides_rupestris" 0.14023 164 4 0.98936 -0.0186 -0.05283 "europe" "EN" "Endangered" 2 "bathypelagic" "generalist" 3.54 1.5 "non-guarder" 10 29976 107.5 110 50.32 0.106179011
"75" "Cottunculus_thomsonii" 0.12555 62 2 0.99999 0.01993 0.00042 "europe" "LC" "Least Concern" 1 "bathydemersal" "benthivorous" 3.5 3.75 "non-guarder" 4 375 38.37412716 43 23.1609657059585 0.170050149
"76" "Crystallogobius_linearis" 0.17889 348 9 0.99948 0.08793 0.07568 "europe" "LC" "Least Concern" 1 "demersal" "planktivorous" 3.4 1.35 "guarder" 0.416666666666667 3000 5.400000095 4.7 2.7 0.970000029
"77" "Ctenolabrus_rupestris" 0.13626 136 4 0.99897 0.04333 0.00605 "europe" "LC" "Least Concern" 1 "reef-associated" "benthivorous" 3.58 0.86 "non-guarder" 2.2 160631 16.1 18 9.5 0.301809492
"78" "Cyclopterus_lumpus" 0.17287 330 8 0.99477 -0.01388 0.04247 "europe" "NT" "Near Threatened" 1 "benthopelagic" "planktivorous" 3.89 2.2 "guarder" 4 225000 55 57 29.7 0.174848775
"79" "Dalatias_licha" 0.21638 399 10 0.99998 -0.16535 0.06127 "europe" "EN" "Endangered" 2 "bathydemersal" "piscivorous" 4.23 300 "bearer" 6.8 15 146 182 120 0.1725
"80" "Deania_calcea" 0.23 403 10 0.99903 -0.17782 0.06509 "europe" "EN" "Endangered" 2 "bathydemersal" "piscivorous" 4.33 315 "bearer" 25 10 106.25 80 95 0.10048771
"81" "Deltentosteus_quadrimaculatus" 0.16428 287 7 1 0.09795 0.09885 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.1 1.04 "guarder" 1.181153845 4513 12.35555548 9.2 6.3 0.482039378
"82" "Dentex_dentex" 0.15714 262 7 0.99999 -0.083 -0.05249 "europe" "VU" "Vulnerable" 2 "benthopelagic" "generalist" 4.5 0.958 "non-guarder" 2 192200 90.625 100 42.3 0.086374918
"83" "Dentex_gibbosus" 0.1413 169 4 1 -0.06442 -0.04792 "europe" "LC" "Least Concern" 1 "benthopelagic" "generalist" 4.14 0.958 "non-guarder" 2 192200 100.0688725 100 36.65 0.150292384
"84" "Dentex_maroccanus" 0.11796 19 1 1 0.02398 0.01962 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.85 0.958 "non-guarder" 2 856136 36.63899689 28 12.9333333333333 0.181334415
"85" "Dicentrarchus_labrax" 0.11825 23 1 0.98338 0.01104 -0.01473 "europe" "LC" "Least Concern" 1 "demersal" "generalist" 3.47 1.3 "non-guarder" 3 520228 71.35000229 85 27.2 0.11218898
"86" "Dicentrarchus_punctatus" 0.13894 155 4 0.99998 -0.04386 -0.05005 "europe" "LC" "Least Concern" 1 "pelagic" "generalist" 3.94 1.3 "non-guarder" 3 520228 71.5 70 25.13 0.081774783
"87" "Dicologlossa_cuneata" 0.11927 30 1 0.99697 0.06244 0.02264 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.32 0.8 "non-guarder" 2.952307701 160000 26.83333349 30 16.0666666666667 0.279634226
"88" "Diplodus_annularis" 0.12921 91 3 0.99992 0.02484 0.0049 "europe" "LC" "Least Concern" 1 "benthopelagic" "benthivorous" 3.64 0.7 "non-guarder" 1.333333333 115000 21.52293536 24 10.8578571428571 0.205839307
"89" "Diplodus_bellottii" 0.12769 77 2 0.99941 0.02709 0.00599 "europe" "LC" "Least Concern" 1 "benthopelagic" "benthivorous" 3.55 0.7 "non-guarder" 2.811999989 115000 41.70000029 30 11.4 0.184678988
"90" "Diplodus_cervinus" 0.1512 231 6 1 0.06546 0.01328 "europe" "LC" "Least Concern" 1 "reef-associated" "benthivorous" 2.99 0.7 "non-guarder" 2.811999989 115000 41.70000029 52.7 25 0.184678988
"91" "Diplodus_sargus" 0.12223 45 2 0.99999 0.0646 0.02468 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.216 0.7 "non-guarder" 2.811999989 115000 41.70000029 32 16.865 0.184678988
"92" "Diplodus_vulgaris" 0.1288 88 3 0.98488 0.03411 0.00534 "europe" "LC" "Least Concern" 1 "benthopelagic" "benthivorous" 3.52 0.9 "non-guarder" 2 15437 28.15000057 45 17 0.374604128
"93" "Dipturus_batis" 0.16844 308 8 0.99653 -0.00405 0.06799 "europe" "CR" "Critically Endangered" 2 "demersal" "benthivorous" 3.52 170 "non-guarder" 11 40 254 285 145 0.057
"94" "Dipturus_nidarosiensis" 0.17161 323 8 0.99999 -0.03164 0.02854 "europe" "NT" "Near Threatened" 1 "bathydemersal" "benthivorous" 3.5 153.33 "non-guarder" 10.66666667 40 254 230 135 0.057
"95" "Dipturus_oxyrinchus" 0.15514 251 6 0.99997 -0.0215 0.0209 "europe" "NT" "Near Threatened" 1 "bathydemersal" "benthivorous" 3.5 140 "non-guarder" 10.66666667 40 193.6299793 150 83 0.04
"96" "Echiichthys_vipera" 0.13798 147 4 0.76236 0.00326 0.02581 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 4.41 1.2 "non-guarder" 1.5 160000 15 15 7.4 0.33
"97" "Enchelyopus_cimbrius" 0.12122 38 1 0.92499 0.05048 0.01781 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.53 0.82 "non-guarder" 3 5e+07 36.66666667 41 12.7 0.219621479
"98" "Engraulis_encrasicolus" 0.16092 274 7 0.06138 0.06287 -0.02104 "europe" "LC" "Least Concern" 1 "pelagic" "planktivorous" 3.109999895 1.5 "non-guarder" 1 174000 21.10000038 19 10.4176470588235 0.504896242
"99" "Esox_lucius" 0.14978 219 6 1 -0.05232 0.00994 "europe" "LC" "Least Concern" 1 "demersal" "piscivorous" 4.400000095 2.32 "non-guarder" 2.8 67091.66667 80.95000076 105 35.9 0.25180102
"100" "Etmopterus_spinax" 0.16914 311 8 0.98888 -0.1016 0.00616 "europe" "NT" "Near Threatened" 1 "bathydemersal" "generalist" 4.14 80 "bearer" 3.5 13 49.4 60 26.9 0.175
"101" "Eutrigla_gurnardus" 0.11803 21 1 0.07061 -0.00749 -0.0209 "europe" "LC" "Least Concern" 1 "demersal" "generalist" 3.87 1.35 "non-guarder" 2.774999996 244949 40.5 36 21.1 0.159999996
"102" "Gadella_maraldi" 0.14197 174 5 1 -0.00268 -0.04509 "europe" "LC" "Least Concern" 1 "benthopelagic" "generalist" 3.45 0.98 "non-guarder" 10.5 6e+07 42.59999847 30 15 0.150000006
"103" "Gadiculus_argenteus" 0.14061 166 4 0.46825 0.02274 -0.02226 "europe" "LC" "Least Concern" 1 "benthopelagic" "planktivorous" 3.6 1 "non-guarder" 2 2549502 17.95000076 22 12.6 0.305291094
"104" "Gadus_morhua" 0.14278 177 5 0.15306 -0.06975 -0.04715 "europe" "LC" "Least Concern" 1 "benthopelagic" "generalist" 4.09 1.52 "non-guarder" 5.061136384 3772790.929 90.6875 116 59.998064516129 0.147341441
"105" "Gaidropsarus_argentatus" 0.13307 111 3 1 0.00598 -0.04718 "europe" "LC" "Least Concern" 1 "bathydemersal" "generalist" 3.39 1.27 "non-guarder" 4 1644668 41.30518711 42 25 0.600000024
"106" "Gaidropsarus_biscayensis" 0.13255 109 3 0.99998 0.03256 0.00421 "europe" "LC" "Least Concern" 1 "benthopelagic" "benthivorous" 3.57 0.78 "non-guarder" 2.83333333333333 2500000 41.30518711 40 25.1059091676574 0.600000024
"107" "Gaidropsarus_mediterraneus" 0.12204 42 1 0.99996 0.0317 -0.01992 "europe" "LC" "Least Concern" 1 "demersal" "generalist" 3.47 0.78 "non-guarder" 1.5 2500000 29.65687584 50 18.60210453 0.600000024
"108" "Gaidropsarus_vulgaris" 0.12096 37 1 0.99742 0.05402 0.02172 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.47 0.78 "non-guarder" 3 2500000 47.5 60 27 0.600000024
"109" "Galeorhinus_galeus" 0.22657 401 10 0.99881 -0.17037 0.07474 "europe" "VU" "Vulnerable" 2 "benthopelagic" "piscivorous" 4.34 280 "bearer" 5.532142835 29 171.766666 195 141.125 0.118741874
"110" "Galeus_atlanticus" 0.13601 134 4 0.99917 -0.05345 -0.05561 "europe" "NT" "Near Threatened" 1 "bathydemersal" "generalist" 4.116 20 "non-guarder" 3.5 6 46.295 48.83333 34.9 0.383
"111" "Galeus_melastomus" 0.12982 96 3 0.97964 -0.03341 -0.02071 "europe" "LC" "Least Concern" 1 "demersal" "generalist" 4.17 42 "non-guarder" 3.5 93 46.295 54 58.59 0.383
"112" "Galeus_murinus" 0.14919 214 5 0.99997 -0.06242 -0.02734 "europe" "LC" "Least Concern" 1 "bathydemersal" "piscivorous" 4.116 30 "non-guarder" 3.5 54 46.295 63 47.9 0.383
"113" "Glyptocephalus_cynoglossus" 0.12879 87 3 0.97063 0.05476 0.03041 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.17 1.16 "non-guarder" 7.889230728 1e+07 62.14999962 78.1 28.425 0.202567951
"114" "Gnathophis_mystax" 0.12327 47 2 1 0.03328 0.03012 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.48 2.75 "non-guarder" 10 5500000 78.3875315 60 25.5 0.068000004
"115" "Gobius_cobitis" 0.16442 289 7 1 0.08894 0.1027 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 2.97 4.525 "guarder" 3.1 5700 25.3 27 14.4 0.216999993
"116" "Gobius_gasteveni" 0.15592 255 6 0.99979 0.08455 0.09337 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.275 1.96 "guarder" 1.5 4739 15.04999995 12 6.9416507797299 0.430000007
"117" "Gobius_niger" 0.15372 245 6 0.95383 0.08056 0.09193 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.31 1.5 "guarder" 2 3500 18.5 15.2 11.255 0.430000007
"118" "Gobius_paganellus" 0.15507 250 6 0.99955 0.08252 0.09285 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.299999952 2.42 "guarder" 1.5 3076 11.60000038 13 5.35 0.407999992
"119" "Gobiusculus_flavescens" 0.17258 327 8 1 0.1057 0.10188 "europe" "LC" "Least Concern" 1 "demersal" "benthivorous" 3.18 1 "guarder" 1 5016 6.5 5.5 3.4 0.939999998
"120" "Gymnammodytes_semisquamatus" 0.16646 299 7 0.93489 0.09776 0.00939 "europe" "LC" "Least Concern" 1 "demersal" "planktivorous" 2.68 0.94 "non-guarder" 3.200000048 13133 18.37500012 30 7.2 0.639590652
"121" "Halargyreus_johnsonii" 0.1448 189 5 0.99951 0.00864 -0.06176 "europe" "LC" "Least Concern" 1 "bathypelagic" "generalist" 3.38 0.98 "non-guarder" 10.5 6e+07 63.53000107 56 33.4376402901395 0.153170497
